PMNAME,PMUNIT,PMSARATE,PMPURATE,PMMRRATE,PM_GSTPER,PMGROUP
PATTAI 1KG,NOS,600,290,800,0,GENERAL
WHEEL APPALAM,NOS,30,30,30,0,GENERAL
ONION APPALAM,NOS,35,30,30,0,GENERAL
DESIGN APPALAM,NOS,35,30,30,0,GENERAL
TOP RAM CUP PANEER 70G,NOS,50,43.75,50,0,GENERAL
MOP T BIG REFILL(J),NOS,95,43,95,0,GENERAL
SCOTCH B PAD2.75*4,NOS,20,17.55,20,0,GENERAL
SCOTCH B PAD3*4,NOS,27,23.68,27,0,GENERAL
BRYLCREEM 75G,NOS,80,72.73,80,0,GENERAL
MUSTARD BIG1KG,NOS,200,105,200,0,GENERAL
VADAGAM1KG,NOS,210,65,210,0,GENERAL
MOCHAI 1KG,NOS,138,70,138,0,GENERAL
ENGAGE PERT SPRAY100MI,NOS,195,127.17,195,0,GENERAL
CASHEWNUTS MASALA,NOS,68,38,68,0,GENERAL
GOLI SODA 200ML,NOS,70,35,70,0,GENERAL
PRIL TAMRIND GEL750ML,NOS,165,126,165,0,GENERAL
MEDIMIX HW POUCH SET200M,NOS,135,40.95,135,0,GENERAL
JAVATHRI 20GM,NOS,76,25,76,0,GENERAL
TENDER COCONUT 1NO,NOS,45,21.38,45,0,GENERAL
MOP STEAL SET(J),NOS,345,168,345,0,GENERAL
NOTE BOOK 943,NOS,62,46.5,62,0,GENERAL
COCONUT OIL KPL1LR,NOS,317,264.18,317,0,GENERAL
NATARAJ PEN 1NO,NOS,5,3.35,5,0,GENERAL
PULSE OXIMETER,NOS,2999,672,1200,0,GENERAL
SB JET BRUSH,NOS,140,122.81,140,0,GENERAL
CARRYBAG 16*20,NOS,75,45,100,0,GENERAL
RICE BOIL VEERA SIVAJI1KG,NOS,64,35,64,0,GENERAL
AMUL FRESH CREAM 1LR,NOS,197,146.21,197,0,GENERAL
MOP MALCO GOLDCUP(R),NOS,110,65,130,0,GENERAL
MASK 3PLY1NO,NOS,10,6,15,0,GENERAL
G.D.ASAFOEDEA POWDER50GM,NOS,80,53,80,0,GENERAL
MASK CN 95 1NO,NOS,349,262.5,349,0,GENERAL
SKC AGMARK JAGGERY POWDER 500GM,NOS,52,37,52,0,GENERAL
777 PICKLE 200ML,NOS,64,54.67,64,0,GENERAL
AVT GOLDCUP 250GM,NOS,180,164.51,180,0,GENERAL
AVT GOLDCUP 500GM,NOS,360,334.61,280,0,GENERAL
AVT COFFE 500GM,NOS,185,165.56,185,0,GENERAL
AVT PREMIUM 100GM,NOS,40,35.59,40,0,GENERAL
MASK CLOTH 1NO,NOS,30,16.8,20,0,GENERAL
MOP DODI MALCO(R),NOS,135,69,135,0,GENERAL
